% x                       y                        z                        abs(c) (mol/m^3) @ t=36000
0.16                      0.16                     0.025                    2.6520708050068116
0.17                      0.16                     0.025                    2.5140302862494366
0.18                      0.16                     0.025                    2.0489031825417223
0.19                      0.16                     0.025                    1.4203555565914043
0.2                       0.16                     0.025                    0.8093315087986541
0.21                      0.16                     0.025                    0.4062883288369997
0.22                      0.16                     0.025                    0.18005145753888718
0.23                      0.16                     0.025                    0.08655166430912241
0                         0.17                     0.025                    0.043356558642371215
0.01                      0.17                     0.025                    0.11374406251042382
0.02                      0.17                     0.025                    0.2638956606420796
0.03                      0.17                     0.025                    0.6211329454051681
0.04                      0.17                     0.025                    1.0560820927864385
0.05                      0.17                     0.025                    1.549246079145876
0.06                      0.17                     0.025                    1.9866685549305525
0.07                      0.17                     0.025                    2.1455204020588536
0.08                      0.17                     0.025                    1.9825775678042887
0.09                      0.17                     0.025                    1.5915054709596022
0.1                       0.17                     0.025                    1.1650114064765118
0.11                      0.17                     0.025                    0.831690606771098
0.12                      0.17                     0.025                    0.6951034136833605
0.13                      0.17                     0.025                    0.7904840977564567
0.14                      0.17                     0.025                    1.0170658213743917
0.15                      0.17                     0.025                    1.240248735392203
0.16                      0.17                     0.025                    1.3456095840156284
0.17                      0.17                     0.025                    1.235258695089446
0.18                      0.17                     0.025                    0.9552938846535878
0.19                      0.17                     0.025                    0.6744740870661063
0.2                       0.17                     0.025                    0.3754253713272657
0.21                      0.17                     0.025                    0.16946224017336967
0.22                      0.17                     0.025                    0.069146920523733
0.23                      0.17                     0.025                    0.026200226977590113
0                         0.18                     0.025                    0.005227010480172192
0.01                      0.18                     0.025                    0.023881585088930214
0.02                      0.18                     0.025                    0.09564552092908633
0.03                      0.18                     0.025                    0.22175172404927218
0.04                      0.18                     0.025                    0.39255680723925324
0.05                      0.18                     0.025                    0.5811722845202707
0.06                      0.18                     0.025                    0.7906590902153683
0.07                      0.18                     0.025                    0.8339284394438635
0.08                      0.18                     0.025                    0.7713912173106331
0.09                      0.18                     0.025                    0.6085892888998764
0.1                       0.18                     0.025                    0.4136988186088789
0.11                      0.18                     0.025                    0.2818140416981441
0.12                      0.18                     0.025                    0.2333062117421979
0.13                      0.18                     0.025                    0.2839415721430941
0.14                      0.18                     0.025                    0.3884516122366981
0.15                      0.18                     0.025                    0.48347538329612033
0.16                      0.18                     0.025                    0.5306460034956442
0.17                      0.18                     0.025                    0.49263092756750293
0.18                      0.18                     0.025                    0.380480541159288
0.19                      0.18                     0.025                    0.25944604759736695
0.2                       0.18                     0.025                    0.1366393048200832
0.21                      0.18                     0.025                    0.05819051152462797
0.22                      0.18                     0.025                    0.013548592387648741
0.23                      0.18                     0.025                    0.0017961229594404815
0                         0.19                     0.025                    0.006347315683553467
0.01                      0.19                     0.025                    5.494610810861844E-4
0.02                      0.19                     0.025                    0.016883245578514908
0.03                      0.19                     0.025                    0.053179806608329834
0.04                      0.19                     0.025                    0.11629263968321861
0.05                      0.19                     0.025                    0.16784708863317802
0.06                      0.19                     0.025                    0.2273302401083362
0.07                      0.19                     0.025                    0.2581350736534655
0.08                      0.19                     0.025                    0.2322409058847262
0.09                      0.19                     0.025                    0.1906355963776124
0.1                       0.19                     0.025                    0.125013817600813
0.11                      0.19                     0.025                    0.07581590757214349
0.12                      0.19                     0.025                    0.05707114060915431
0.13                      0.19                     0.025                    0.07175183261581164
0.14                      0.19                     0.025                    0.1151943970051631
0.15                      0.19                     0.025                    0.14723306677620238
0.16                      0.19                     0.025                    0.17131943050210635
0.17                      0.19                     0.025                    0.15597285088073412
0.18                      0.19                     0.025                    0.11534355438102292
0.19                      0.19                     0.025                    0.06924174182411644
0.2                       0.19                     0.025                    0.030674408349644137
0.21                      0.19                     0.025                    0.008409185611536711
0.22                      0.19                     0.025                    0.0013526625162733246
0.23                      0.19                     0.025                    0.004926187134901077
0                         0.2                      0.025                    0.004724387927986659
0.01                      0.2                      0.025                    0.0035095691213506562
0.02                      0.2                      0.025                    0.0012281816175595407
0.03                      0.2                      0.025                    0.0033436465345782246
0.04                      0.2                      0.025                    0.01965452557478762
0.05                      0.2                      0.025                    0.036331786709944726
0.06                      0.2                      0.025                    0.05210023707646039
0.07                      0.2                      0.025                    0.061705243707970994
0.08                      0.2                      0.025                    0.05390349199038513
0.09                      0.2                      0.025                    0.036855734314462665
0.1                       0.2                      0.025                    0.016876539277357834
0.11                      0.2                      0.025                    0.005080570460809529
0.12                      0.2                      0.025                    0.0019212647652316682
0.13                      0.2                      0.025                    0.009261304463536848
0.14                      0.2                      0.025                    0.02189486675459028
0.15                      0.2                      0.025                    0.03323868696552756
0.16                      0.2                      0.025                    0.03503855701622404
0.17                      0.2                      0.025                    0.032454559637449164
0.18                      0.2                      0.025                    0.02385838724780699
0.19                      0.2                      0.025                    0.010518556195578229
0.2                       0.2                      0.025                    0.0021174353144858445
0.21                      0.2                      0.025                    0.0014925729103243126
0.22                      0.2                      0.025                    0.0025651303373818058
0.23                      0.2                      0.025                    0.0030960182895004135
0                         0.21                     0.025                    0.0018458905865286995
0.01                      0.21                     0.025                    0.0018995512357851123
0.02                      0.21                     0.025                    0.0025829887772369623
0.03                      0.21                     0.025                    0.0030112474231255943
0.04                      0.21                     0.025                    0.00258958933303238
0.05                      0.21                     0.025                    1.063085252698974E-4
0.06                      0.21                     0.025                    0.0030809399920945692
0.07                      0.21                     0.025                    0.0036815711453460536
0.08                      0.21                     0.025                    0.0035389192102553155
0.09                      0.21                     0.025                    0.0018420600172811509
0.1                       0.21                     0.025                    0.0021540670969600424
0.11                      0.21                     0.025                    0.004841328632463837
0.12                      0.21                     0.025                    0.005177201109406275
0.13                      0.21                     0.025                    0.0038712127772839427
0.14                      0.21                     0.025                    0.001224883713147237
0.15                      0.21                     0.025                    2.1420673059282662E-4
0.16                      0.21                     0.025                    0.0010140090682435614
0.17                      0.21                     0.025                    0.001290814499802577
0.18                      0.21                     0.025                    1.7988240570883287E-5
0.19                      0.21                     0.025                    0.0018897062192272844
0.2                       0.21                     0.025                    0.0023410018907422756
0.21                      0.21                     0.025                    0.0018786894306170047
0.22                      0.21                     0.025                    0.0012864297206922218
0.23                      0.21                     0.025                    0.0011120587820857874
0                         0.22                     0.025                    2.840556383544686E-4
0.01                      0.22                     0.025                    4.824403977117011E-4
